000.1;KETATAUSAHAAN DAN KERUMAHTANGGAAN
800.1.1.3;Penetapan Kebutuhan Aparatur Sipil Negara
800.1.1.4;Standarisasi Jabatan Antara lain : Informasi Jabatan, Kompetensi Jabatan, Klasifikasi Jabatan
800.1.2;Formasi dan Pengadaan Pegawai
800.1.2.1;Formasi ASN Antara lain : Usulan formasi, Usulan permintaan formasi kepada Menpan RB dan Kepala BKN, Persetujuan Formasi, Penetapan Formasi, Penetapan Formasi Khusus
800.1.2.2;Proses Rekrutmen/Pengadaan ASN Antara lain : Proses Rekrutmen ASN, Penetapan Pengumuman Kelulusan ASN
800.1.2.3;Pengumuman Kelulusan ASN
800.1.2.4;Berkas Lamaran Yang Tidak Diterima
800.1.2.5;Pengangkatan ASN
800.1.2.6;Open Biding (Seleksi Terbuka Jabatan)
800.1.2.7;Pengelolaan Sistem Rekrutmen ASN
800.1.2.8;Fasilitasi Penyelenggaraan Seleksi ASN
800.1.3;Mutasi Pegawai 
800.1.3.1;Usulan Alih Status, Pindah Instansi, Pindah Wilayah Kerja, Diperbantukan, Dipekerjakan, Penugasan Sementara, Mutasi antar Perwakilan, Mutasi ke dan dari Perwakilan, Pemindahan Sementara, Persetujuan/Pertimbangan Kepala BKN
800.1.3.2;Kenaikan Pangkat/Golongan/Jabatan
800.1.3.3;Pengangkatan dan Pemberhentian Jabatan Struktural/Fungsional
800.1.3.4;Perubahan Data Dasar/ Status/Kedudukan Hukum Pegawai
800.1.3.5;Peninjauan Masa Kerja
800.1.3.6;Badan Pertimbangan Jabatan dan Pangkat (BAPERJAKAT)
800.1.4;Pengembangan Karir
800.1.4.1;Usulan Tugas Belajar/ Ijin Belajar/ Diklat/ Kursus/ Magang/ Ujian Dinas/ Praktek Kerja di Instansi lain/ Pertukaran antar ASN dengan pegawai swasta
800.1.4.2;Penyesuaian ijazah
800.1.4.3;Penyusunan Sistem Karier
800.1.4.4;Standar Kinerja Pegawai (SKP) dan Penilaian Prestasi Kerja
800.1.4.5;Angka Kredit Antara lain : Pengajuan Daftar Usul Pengajuan Angka Kredit, Penilaian Daftar Usul Pengajuan Angka Kredit
800.1.5;Kinerja Aparatur Sipil Negara
800.1.5.1;Hasil Penilaian Kinerja dan Standar Kerja
800.1.5.2;Pengelolaan Database dan Analisis Sistem Informasi Kinerja
800.1.5.3;Evaluasi dan Pemantauan Penilaian Kinerja dan Standar Kinerja
800.1.6;Kode Etik, Disiplin, Pemberhentian dan Pensiun ASN
800.1.6.1;Kode Etik Pegawai
800.1.6.2;Disiplin
800.1.6.3;Pemberhentian Dengan Hormat
800.1.6.4;Pemberhentian Dengan Tidak Hormat
800.1.6.5;Pemberhentian Sementara
800.1.6.6;Pensiun ASN Antara lain : Administrasi Pensiun ASN, Penetapan Pensiun ASN, Penetapan Pertimbangan Teknis Pensiun ASN, Pensiun Pejabat Negara dan Janda/ Dudanya
800.1.7;Bantuan Hukum
800.1.8;Status dan Kedudukan Pegawai
800.1.8.1;Status Kepegawaian
800.1.8.2;Kedudukan Kepegawaian
800.1.8.3;Keberatan Pegawai
800.1.8.4;Perselisihan/Sengketa Kepegawaian
800.1.9;Sistem Informasi Kepegawaian
800.1.9.1;Pengolahan Data dan Informasi Kepegawaian
800.1.9.2;Pengembangan Sistem Informasi Kepegawaian
800.1.9.3;Pengembangan Sistem Pengelolaan Arsip Kepegawaian Elektonik
800.1.9.4;Sistem Pengelolaan Arsip Kepegawaian Fisik
800.1.10;Pengawasan dan pengendalian
800.1.10.1;Formasi, Pengadaan dan Pasca Diklat 
800.1.10.2;Kepangkatan, Pengangkatan, dan Pemberhentian Dalam Jabatan
800.1.10.3;Gaji dan Tunjangan, Kesejahteraan dan Kinerja
800.1.10.4;Kode Etik, Disiplin, Pemberhentian dan Pensiun ASN
800.1.10.5;Laporan Hasil Pengawasan dan Pengendalian
800.1.10.6;Sanggahan terhadap Permasalahan Tenaga Honorer
800.1.11;Administrasi Pegawai
800.1.11.1;Surat Perintah Dinas/Surat Tugas
800.1.11.2;Cuti Sakit
800.1.11.3;Cuti Bersalin
800.1.11.4;Cuti Tahunan
800.1.11.5;Cuti Alasan Penting
800.1.11.6;Cuti Besar
800.1.11.7;Cuti Di luar Tanggungan Negara
800.1.11.8;Karpeg/KPE/Karis/Karsu
800.1.11.9;Keanggotaan Organisasi Profesi/ Kedinasan
800.1.11.10;Laporan Pajak Penghasilan Pribadi (LP2P)
800.1.11.11;Keterangan Penerimaan Pembayaran Penghasilan Pegawai (KP4)
800.1.11.12;Daftar Urut Kepangkatan (DUK)
800.1.11.13;Pengurusan Kenaikan Gaji Berkala, Mutasi Gaji/ tunjangan
800.1.12;Kesejahteraan Pegawai
800.1.12.1;Pemeliharaan Kesehatan Pegawai
800.1.12.2;Asuransi Pegawai/BPJS
800.1.12.3;Tabungan Perumahan
800.1.12.4;Bantuan Sosial
800.1.12.5;Pakaian Dinas
800.1.12.6;Layanan Pegawai yang Meninggal Karena Dinas 
800.1.12.7;Pemberian Tali Kasih
800.1.12.8;Pemberian Piagam Penghargaan dan Tanda Jasa
800.1.12.9;Olahraga dan Rekreasi 
800.1.12.10;Rekam Medis
800.1.13.1;Pegawai Negeri Sipil (PNS)
800.1.13.2;Pegawai Pemerintah dengan Perjanjian Kerja (PPPK)
800.1.13.3;Pejabat Negara dan pejabat lainnya yang disetarakan
800.1.13.4;Sekretaris Daerah
800.1.13.5;ASN berjasa/terlibat dalam peristiwa berskala nasional 
800.1.14;Penilaian Kompetensi
800.1.14.1;Penilaian Kompetensi
800.1.14.2;Hasil Penilaian Kompetensi
800.2.1;Kebijakan di bidang Pendidikan dan Pelatihan yang dilakukan oleh Pemerintah Daerah
800.2.2;Pendidikan dan Pelatihan
800.2.2.1;Sistem Informasi program dan pembinaan diklat
800.2.2.2;Pedoman-pedoman kediklatan 
800.2.2.3;Kurikulum-kurikulum diklat
800.2.2.4;Modul-modul diklat
800.2.2.5;Panduan fasilitator
800.2.2.6;Saran/rekomendasi penyelenggaraan diklat
800.2.2.7;Notulen sosialisasi/Rapat Koordinasi Kebijakan Diklat
800.2.2.8;Monitoring dan evaluasi program dan pembinaan diklat
800.2.2.9;Konsultasi, advokasi, asistensi diklat
800.2.3.1;Seleksi dan pengembangan  Widyaiswara
800.2.3.2;Sertifikasi  Widyaiswara
800.2.3.3;Monitoring dan evaluasi Widyaiswara
800.2.3.4;Penilaian  Widyaiswara
800.2.3.5;Konsultasi, advokasi dan asistensi  Widyaiswara
800.2.3.6;Sistem Informasi Pembinaan Widyaiswara
800.2.4;Penyelenggaraan Diklat
800.2.4.1;Perencanaan; peserta, pengajar, penjadwalan Penyelenggaraan Diklat
800.2.4.2;Penyelenggaraan Penyelenggaraan Diklat
800.2.4.3;Konsultasi, advokasi, asistensi penyelenggaraan diklat
800.2.4.4;Pengembangan bahan ajar dan metodologi pembelajaran
800.2.4.5;Sistem informasi diklat
800.2.4.6;Monitoring Penyelenggara Diklat
800.2.4.7;Monitoring dan evaluasi Pasca diklat
900.1.1;Rencana Anggaran Pendapatan dan Belanja Daerah (RAPBD) dan Anggaran Pendapatan dan Belanja Daerah Perubahan(APBD-P)
900.1.1.1;Penyusunan Prioritas Plafon Anggaran (PPA)
900.1.1.2;Penyusunan Rencana Kerja Anggaran Satuan Kerja Perangkat Daerah (RKASKPD)
900.1.1.3;Penyampaian Rancangan Anggaran Pendapatan dan Belanja Daerah kepada Dewan Perwakilan
900.1.1.4;Anggaran Pendapatan dan Belanja Daerah Perubahan (RAPBD-P)
900.1.2;Penyusunan Anggaran
900.1.2.1;Musyawarah Rencana Pembangunan (Musrenbang) kecamatan
900.1.2.2;Musyawarah Rencana Pembangunan (Musrenbang) Kota
900.1.2.3;Rancangan Dokumen Pelaksanaan Anggaran (RDPA) SKPD yang telah disetujui Sekretaris Daerah
900.1.2.4;Dokumen Pelaksanaan Anggaran (DPA) SKPD yang telah disahkan oleh Pejabat Pengelola Keuangan Daerah (PPKD)
900.1.3;Pelaksanaan Anggaran
900.1.3.1;Surat Penyedia Dana (SPP, SPM dan SP2D): UP, GU, TU, LS
900.1.3.2;Pendapatan
900.1.3.3;Belanja
900.1.3.4;Pembiayaan Daerah
900.1.3.5;Dokumen Penatausahaan Keuangan
900.1.3.6;Pertanggungjawaban Penggunaan Dana
900.1.3.7;Daftar Gaji
900.1.3.8;Kartu Gaji
900.1.3.9;Data Rekening Bendahara Umum Daerah (BUD)
900.1.3.10;Laporan Keuangan   
900.1.4;Pinjaman/Hibah Luar Negeri
900.1.4.1;Permohonan Pinjaman/Hibah Luar Negeri (Blue Book)
900.1.4.2;Dokumen Kesanggupan Negara Donor untuk Membiayai (Green Book)
900.1.4.3;Dokumen Memorandum of Understanding  (MoU), dan dokumen sejenisnya
900.1.4.4;Dokumen Loan Agremeent  (PHLN) Antara lain : Draft Agreement, Legal Opinion, Surat Menyurat dengan Lender
900.1.4.5;Alokasi dan Relokasi Penggunaan Dana Luar Negeri, antara lain: usulan luncuran dana
900.1.4.6;Aplikasi Penarikan Dana BLN berikut lampirannya 
900.1.4.7;Dokumen Otorisasi Penarikan Dana (Payment Advice)
900.1.4.8;Dokumen Realisasi Pencairan Dana Bantuan Luar Negeri, yaitu : Surat Perintah Pencairan Dana, SPM beserta lampirannya, a.l. : SPP, Kontrak, BA, dan data pendukung lainnya.
900.1.4.9;Replenishment  (Permintaan Penarikan Dana dari Negara Donor) meliputi antara lain : No Objection Letter (NOL), Project Implementation, Notification of Contract, Withdrawal Authorization (WA),
900.1.4.10;Staff Appraisal Report
900.1.4.11;Report /Laporan
900.1.4.12;Laporan Hutang Daerah
900.1.4.13;Completion Report/Annual Report
900.1.4.14;Ketentuan/Peraturan yang menyangkut Pinjaman/Hibah Luar Negeri
900.1.5;Pengelolaan APBD/Dana Pinjaman/Hibah Luar Negeri (PHLN)
900.1.6;Sistem Akuntansi Keuangan Daerah (SAKD)
900.1.6.1;Manual Implementasi Sistem Akuntansi Keuangan Daerah (SAKD)
900.1.6.2;Dokumen Kebijakan Akuntansi
900.1.6.3;Arsip Data Komputer dan Berita Acara Rekonsiliasi
900.1.6.4;Laporan Realisasi Anggaran dan Neraca Bulanan/Triwulanan/Semesteran
900.1.7;Penyaluran Anggaran Tugas Pembantuan
900.1.7.1;Surat Penetapan Pemimpin Proyek/Bagian Proyek, Bendahara, atas Penggunaan Anggaran Kegiatan Pembantuan, termasuk Specimen Tanda Tangan
900.1.7.2;Berkas Permintaan Pembayaran (SPP) dan lampirannya : SPP-SPP-Daftar Perincian Penggunaan SPPR-SPDR-L, SPM-LS, SPM-DU, bilyet giro, SPM Nihil, Penagihan/Invoice, Faktur Pajak, Bukti Penerimaan Kas/Bank beserta Bukti Pendukungnya a.l. : Copy Faktur Pajak dan Nota Kredit Bank, Permintaan Pelayanan Jasa/Service Report dan Berita Acara Penyelesaian Pekerjaan
900.1.7.3;Buku Rekening Bank
900.1.7.4;Keputusan Pembukuan Rekening
900.1.7.5;Pembukuan anggaran terdiri antara lain : Buku Kas Umum (BKU), Buku Pembantu, Register dan Buku Tambahan, Daftar Pembukuan Pencairan/Pengeluaran (DPP), Daftar Himpunan Pencairan (DHP), dan Rekening Koran
900.1.8;Penerimaan Anggaran Tugas Pembantuan
900.1.8.1;Berkas Penerimaan Keuangan Pelaksanaan dan Tugas Pembantuan termasuk Dana Sisa atau Pengeluaran lainnya
900.1.8.2;Berkas Penerimaan Pajak termasuk PPh 21, PPh 22, PPh 23, dan PPn dan Denda Keterlambatan Menyelesaikan Pekerjaan
900.1.9;Penyusunan Anggaran Pilkada dan Biaya Bantuan Pemilu Dari APBD meliputi: Kebijakan Keuangan Pilkada dan Penyusunan Anggaran Bantuan Pemilu, Peraturan/Pedoman/Standar Belanja Pegawai, Barang dan Jasa, Operasional dan Kontingensi untuk Biaya Pilkada dan Bantuan Pemilu, Bahan Usulan Rencana Kegiatan dan Anggaran (RKA) Pilkada KPUD dan Panwasda Kota, PPK, PPS, KPPS dan Permohonan Pengajuan RKA KPUD dan Panwas, Berkas Pembahasan RKA Pilkada dan Bantuan Pemilu, Rencana Anggaran Satuan Kerja (RASK) Pilkada dan Bantuan Pemilu Kota, Dokumen Rancangan Anggaran Satuan Kerja (DRASK) Pilkada KPUD dan Panwas Kota dan Bantuan Biaya Pemilu dari APBD, Berkas Pembentukan Dana Cadangan Pilkada, Bahan Rapat Rancangan Peraturan Daerah tentang Pilkada, dan Bantuan Biaya Pemilu dari APBD, Nota Persetujuan DPRD tentang Perda APBD Pilkada dan Bantuan Biaya Pemilu dari APBD
900.1.10;Pelaksanaan Anggaran PILKADA dan Anggaran Biaya Bantuan Pemilu
900.1.10.1;Berkas Penetapan Bendahara dan Atasan Langsung Bendahara KPUD, Bendahara Panwasda dan Bendahara pada Panitia Pilkada dan Pemilu
900.1.10.2;Berkas Penerimaan Komisi, Rabat Pembayaran Pengadaan Jasa, Bunga, Pelaksanaan Pilkada/Pemilu
900.1.10.3;Berkas setor sisa dana Pilkada/Pemilu termasuk setor komisi pengadaan barang/jasa, rabat, bunga, jasa giro Berkas Penyaluran Biaya Pemilu termasuk diantaranya Bukti Transfer Bank
900.1.10.4;Pedoman Dokumen Penyediaan Pembiayaan Kegiatan Operasional (PPKO)  Pemilu termasuk Perubahan/Pergeseran/Revisinya
900.1.11;Pemeriksaan/Pengawasan Keuangan Daerah
900.1.11.1;Laporan Hasil Pemeriksaan Badan Pemeriksa Keuangan Republik Indonesia atas Laporan Keuangan
900.1.11.2;Hasil Pengawasan dan Pemeriksaan Internal
900.1.11.3;Laporan Aparat Pemeriksa Fungsional
900.1.11.4;Dokumen Penyelesaian Kerugian Daerah
900.1.12.1;Anggaran Daerah
900.1.12.2;Dukungan Teknis Anggaran Daerah
900.1.13;Pendapatan dan Investasi Daerah
900.1.13.1;Pajak Daerah dan Retribusi Daerah Antara lain : fasilitasi pelaksanaan kebijakan standardisasi pajak daerah dan retribusi daerah, penyiapan bahan perumusan bimbingan teknis  pajak daerah dan retribusi daerah, penyiapan bahan perumusan analisis dan evaluasi, pemantauan  pajak daerah dan retribusi daerah, penyiapan bahan perumusan kebijakan fasilitasi pemberian insentif pajak daerah dan retribusi daerah
900.1.13.2;Badan Usaha Milik Daerah Antara lain : fasilitasi serta bimbingan teknis di bidang usaha milik daerah lembaga keuangan, fasilitas serta bimbingan teknis di bidang badan usaha milik daerah lembaga non keuangan, penyiapan pelaksanaan monitoring dan evaluasi badan usaha milik daerah
900.1.13.3;Badan Layanan Umum Daerah Antara lain : analisis, standardisasi teknis, fasilitasi serta bimbingan teknis, pemantauan dan evaluasi di bidang pola pengelolaan keuangan badan layanan umum daerah, Pembinaan pelaksanaan kebijakan, standardisasi teknis, prosedur dan kriteria, fasilitasi serta bimbingan teknis penerapan pola pengelolaan keuangan keuangan badan layanan umum daerah, Penyiapan pelaksanaan monitoring dan evaluasi pola pengelolaan keuangan badan layanan umum daerah
900.1.13.4;Pengelolaan Kekayaan Daerah Antara lain : fasilitasi serta bimbingan teknis pengelolaan kekayaan, Fasilitasi serta bimbingan teknis investasi daerah, Penyiapan pelaksanaan monitoring dan evaluasi pengelolaan kekayaan dan investasi daerah
900.1.13.5;Pinjam Dan Obligasi Daerah Antara lain : fasilitasi pelaksanaan kebijakan pinjaman dan hibah kepada pemerintah daerah dan/atau badan usaha milik daerah, Fasilitasi pelaksanaan kebijakan obligasi daerah, Fasilitasi pelaksanaan kebijakan dana bergulir yang bersumber dari APBN, Bimbingan teknis obligasi daerah, dana bergulir serta penyertaan modal daerah, Penyiapan pelaksanaan monitoring dan evaluasi pinjaman dan hibah, obligasi daerah, dan dana bergulir, dan penyertaan modal daerah
900.1.14;Fasilitasi Dana Perimbangan
900.1.14.1;Fasilitasi Dana Alokasi Umum Antara lain : Koordinasi penyiapan data dasar penghitungan, dan rekonsiliasi dana alokasi umum, Sosialisasi dan supervisi dana alokasi umum, Penyiapan pelaksanaan monitoring dan evaluasi dana alokasi umum
900.1.14.2;Fasilitasi Dana Alokasi Khusus Antara lain : Koordinasi penyiapan data dasar, Sosialisasi dan supervisi dana alokasi khusus, penyiapan pelaksanaan monitoring,  evaluasi dana alokasi khusus, Penyiapan pelaksanaan monitoring,  evaluasi dana alokasi khusus
900.1.14.3;Dana Bagi Hasil Pajak dan Sumber Daya Alam Antara lain : Koordinasi penyiapan data dasar perhitungan, dan rekonsiliasi dana bagi hasil pajak dan sumber daya alam, Sosialisasi dan supervisi dana bagi hasil pajak dan sumber daya alam, Penyiapan pelaksanaan monitoring dan evaluasi dana bagi hasil pajak dan sumber daya alam
900.1.14.4;Dana Otonomi Khusus dan Dana Transfer Lainnya Antara lain : Sosialisasi dan supervisi dana otonomi khusus, Sosialisasi dan supervisi dan transfer lainnya, Pelaksanaan monitoring dan evaluasi dan otonomi khusus dan dana transfer lainnya
900.1.14.5;Dukungan Teknis Fasilitasi Dana Perimbangan Antara lain : Penyiapan sinkronisasi kebijakan dan perimbangan, Penyiapan dukungan teknis dana perimbangan, Penyiapan data dan informasi untuk penyusunan laporan dana perimbangan
900.1.15;Pelaksanaan Dan Pertanggungjawaban Keuangan Daerah
900.1.15.1;Akuntansi Dan Pertanggungjawaban Keuangan Daerah Antara lain : Fasilitasi serta bimbingan teknis di bidang akuntansi dan pertangungjawaban keuangan daerah, Penyiapan evaluasi rancangan peraturan daerah pertanggungjawaban keuangan daerah
900.1.15.2;Pembinaan Kinerja dan Kapasitas Pengelolaan Keuangan Daerah Antara lain : Fasilitasi serta bimbingan teknis di bidang pembinaan kinerja dan kapasitas pengelolaan keuangan daerah, Penyiapan evaluasi rancangan peraturan daerah pertangungjawaban keuangan daerah
900.1.15.3;Pembinaan dan Evaluasi Pengelolaan Keuangan Daerah Antara lain : Fasilitasi serta bimbingan teknis di bidang pembinaan dan evaluasi pengelolaan keuangan daerah, Penyiapan evaluasi rancangan peraturan daerah pertangungjawaban keuangan daerah
900.1.15.4;Kajian Kebijakan dan Bantuan Keterangan Ahli Antara lain : Penyiapan bahan bantuan keterangan ahli di bidang keuangan daerah, Penyiapan evaluasi rancangan peraturan daerah pertanggungjawaban keuangan daerah
900.1.15.5;Data Informasi dan Pengelolaan Keuangan Daerah Antara lain : Penyiapan  sinkronisasi  kebijakan pelaksanaan pertangungjawaban pelaksanaan keuangan daerah, Penyiapan data dan informasi untuk penyusunan laporan pertangungjawaban pelaksanaan keuangan daerah, Pengelolaan sistem informasi pengelolaan keuangan daerah 
